tender_id,supplier_name,fetched_at,financial_offer,technical_result,is_awarded,award_value
1092165,مؤسسة على عبدالرحمن على العصيمى التجارية,2026-08-15T20:12:57.591613+00:00,29946.0,مطابق,0,
1092189,شركة سنان المجد لصيانة السيارات,2026-08-15T20:32:33.850630+00:00,94990.0,مطابق,0,
1092189,شركة علي عبدالرحمن العمودي للتجارة,2026-08-15T20:32:33.850630+00:00,83720.0,مطابق,1,83720.0
1092189,مؤسسة الحمرور التجارية,2026-08-15T20:32:33.850630+00:00,84111.0,مطابق,0,
1092200,شركة الخليجية الخاصة للتجارة,2026-08-15T19:03:19.103362+00:00,22540.0,مطابق,0,
1092200,شركة المندرة العربية للمقاولات شركة شخص واحد,2026-08-15T19:03:19.103362+00:00,21850.0,مطابق,0,
1092200,مؤسسة جسور الامداد لنقل وتوزيع المياه,2026-08-15T19:03:19.103362+00:00,14720.0,مطابق,1,14720.0
1092205,شركة الخليجية الخاصة للتجارة,2026-08-15T19:13:27.647876+00:00,11592.0,مطابق,1,11592.0
1092205,شركة المندرة العربية للمقاولات شركة شخص واحد,2026-08-15T19:13:27.647876+00:00,17664.0,مطابق,0,
1092205,مؤسسة جسور الامداد لنقل وتوزيع المياه,2026-08-15T19:13:27.647876+00:00,14904.0,مطابق,0,
1092208,شركة الاستبرق التجارية,2026-08-15T19:03:25.496947+00:00,16992.0,مطابق,0,
1092208,شركة المندرة العربية للمقاولات شركة شخص واحد,2026-08-15T19:03:25.496947+00:00,15897.6,مطابق,0,
